🎛️	control knobs	control, knobs, music
🎤	microphone	karaoke, mic, microphone
🎧	headphone	earbud, headphone
📻	radio	radio, video
🎷	saxophone	instrument, music, sax, saxophone
🎺	trumpet	instrument, music, trumpet
🪊	trombone	
🪗	accordion	accordian, accordion, concertina, squeeze box
🎸	guitar	guitar, instrument, music
🎹	musical keyboard	instrument, keyboard, music, musical keyboard, piano
🎻	violin	instrument, music, violin
🪕	banjo	banjo, music, stringed
🥁	drum	drum, drumsticks, music
🪘	long drum	beat, conga, drum, long drum, rhythm
🪇	maracas	
🪈	flute	
🪉	harp	
📱	mobile phone	cell, mobile, phone, telephone
📲	mobile phone with arrow	arrow, cell, mobile, mobile phone with arrow, phone, receive
☎️	telephone	phone, telephone
📞	telephone receiver	phone, receiver, telephone
📟	pager	pager
📠	fax machine	fax, fax machine
🔋	battery	battery
🪫	low battery	
🔌	electric plug	electric, electricity, plug
💻	laptop	computer, laptop, pc, personal
🖥️	desktop computer	computer, desktop
🖨️	printer	computer, printer
⌨️	keyboard	computer, keyboard
🖱️	computer mouse	computer, computer mouse
🖲️	trackball	computer, trackball
💽	computer disk	computer, disk, minidisk, optical
💾	floppy disk	computer, disk, floppy
💿	optical disk	cd, computer, disk, optical
📀	dvd	blu-ray, computer, disk, dvd, optical
🧮	abacus	abacus, calculation
🎥	movie camera	camera, cinema, movie
🎞️	film frames	cinema, film, frames, movie
📽️	film projector	cinema, film, movie, projector, video
🎬	clapper board	clapper, clapper board, movie
📺	television	television, tv, video
📷	camera	camera, video
📸	camera with flash	camera, camera with flash, flash, video
📹	video camera	camera, video
📼	videocassette	tape, vhs, video, videocassette
🔍	magnifying glass tilted left	glass, magnifying, magnifying glass tilted left, search, tool
🔎	magnifying glass tilted right	glass, magnifying, magnifying glass tilted right, search, tool
🕯️	candle	candle, light
💡	light bulb	bulb, comic, electric, idea, light
🔦	flashlight	electric, flashlight, light, tool, torch
🏮	red paper lantern	bar, lantern, light, red, red paper lantern
🪔	diya lamp	diya, lamp, oil
📔	notebook with decorative cover	book, cover, decorated, notebook, notebook with decorative cover
📕	closed book	book, closed
📖	open book	book, open
📗	green book	book, green
📘	blue book	blue, book
📙	orange book	book, orange
📚	books	book, books
📓	notebook	notebook
📒	ledger	ledger, notebook
📃	page with curl	curl, document, page, page with curl
📜	scroll	paper, scroll
📄	page facing up	document, page, page facing up
📰	newspaper	news, newspaper, paper
🗞️	rolled-up newspaper	news, newspaper, paper, rolled, rolled-up newspaper
📑	bookmark tabs	bookmark, mark, marker, tabs
🔖	bookmark	bookmark, mark
🏷️	label	label
🪙	coin	coin, gold, metal, money, silver, treasure
💰	money bag	bag, dollar, money, moneybag
🪎	treasure chest	
💴	yen banknote	banknote, bill, currency, money, note, yen
💵	dollar banknote	banknote, bill, currency, dollar, money, note
💶	euro banknote	banknote, bill, currency, euro, money, note
💷	pound banknote	banknote, bill, currency, money, note, pound
💸	money with wings	banknote, bill, fly, money, money with wings, wings
💳	credit card	card, credit, money
🧾	receipt	accounting, bookkeeping, evidence, proof, receipt
💹	chart increasing with yen	chart, chart increasing with yen, graph, growth, money, yen
✉️	envelope	email, envelope, letter
📧	e-mail	e-mail, email, letter, mail
📨	incoming envelope	e-mail, email, envelope, incoming, letter, receive
📩	envelope with arrow	arrow, e-mail, email, envelope, envelope with arrow, outgoing
📤	outbox tray	box, letter, mail, outbox, sent, tray
📥	inbox tray	box, inbox, letter, mail, receive, tray
📦	package	box, package, parcel
📫	closed mailbox with raised flag	closed, closed mailbox with raised flag, mail, mailbox, postbox
📪	closed mailbox with lowered flag	closed, closed mailbox with lowered flag, lowered, mail, mailbox, postbox
📬	open mailbox with raised flag	mail, mailbox, open, open mailbox with raised flag, postbox
📭	open mailbox with lowered flag	lowered, mail, mailbox, open, open mailbox with lowered flag, postbox
📮	postbox	mail, mailbox, postbox
🗳️	ballot box with ballot	ballot, ballot box with ballot, box
✏️	pencil	pencil
✒️	black nib	black nib, nib, pen
🖋️	fountain pen	fountain, pen
🖊️	pen	ballpoint, pen
🖌️	paintbrush	paintbrush, painting
🖍️	crayon	crayon
📝	memo	memo, pencil
💼	briefcase	briefcase
📁	file folder	file, folder
📂	open file folder	file, folder, open
🗂️	card index dividers	card, dividers, index
📅	calendar	calendar, date
📆	tear-off calendar	calendar, tear-off calendar
🗒️	spiral notepad	note, pad, spiral, spiral notepad
🗓️	spiral calendar	calendar, pad, spiral
📇	card index	card, index, rolodex
📈	chart increasing	chart, chart increasing, graph, growth, trend, upward
📉	chart decreasing	chart, chart decreasing, down, graph, trend
📊	bar chart	bar, chart, graph
📋	clipboard	clipboard
📌	pushpin	pin, pushpin
📍	round pushpin	pin, pushpin, round pushpin
📎	paperclip	paperclip
🖇️	linked paperclips	link, linked paperclips, paperclip
📏	straight ruler	ruler, straight edge, straight ruler
📐	triangular ruler	ruler, set, triangle, triangular ruler
✂️	scissors	cutting, scissors, tool
🗃️	card file box	box, card, file
🗄️	file cabinet	cabinet, file, filing
🗑️	wastebasket	wastebasket
🔒	locked	closed, locked
🔓	unlocked	lock, open, unlock, unlocked
🔏	locked with pen	ink, lock, locked with pen, nib, pen, privacy
🔐	locked with key	closed, key, lock, locked with key, secure
🔑	key	key, lock, password
🗝️	old key	clue, key, lock, old
🔨	hammer	hammer, tool
🪓	axe	axe, chop, hatchet, split, wood
⛏️	pick	mining, pick, tool
⚒️	hammer and pick	hammer, hammer and pick, pick, tool
🛠️	hammer and wrench	hammer, hammer and wrench, spanner, tool, wrench
🗡️	dagger	dagger, knife, weapon
⚔️	crossed swords	crossed, swords, weapon
💣	bomb	bomb, comic
🪃	boomerang	australia, boomerang, rebound, repercussion
🏹	bow and arrow	archer, arrow, bow, bow and arrow, Sagittarius, zodiac
🛡️	shield	shield, weapon
🪚	carpentry saw	carpenter, carpentry saw, lumber, saw, tool
🔧	wrench	spanner, tool, wrench
🪛	screwdriver	screw, screwdriver, tool
🔩	nut and bolt	bolt, nut, nut and bolt, tool
⚙️	gear	cog, cogwheel, gear, tool
🗜️	clamp	clamp, compress, tool, vice
⚖️	balance scale	balance, justice, Libra, scale, zodiac
🦯	white cane	accessibility, blind, white cane
🔗	link	link
⛓️‍💥	broken chain	
⛓️	chains	chain, chains
🪝	hook	catch, crook, curve, ensnare, hook, selling point
🧰	toolbox	chest, mechanic, tool, toolbox
🧲	magnet	attraction, horseshoe, magnet, magnetic
🪜	ladder	climb, ladder, rung, step
🪏	shovel	
⚗️	alembic	alembic, chemistry, tool
🧪	test tube	chemist, chemistry, experiment, lab, science, test tube
🧫	petri dish	bacteria, biologist, biology, culture, lab, petri dish
🧬	dna	biologist, dna, evolution, gene, genetics, life
🔬	microscope	microscope, science, tool
🔭	telescope	science, telescope, tool
📡	satellite antenna	antenna, dish, satellite
💉	syringe	medicine, needle, shot, sick, syringe
🩸	drop of blood	bleed, blood donation, drop of blood, injury, medicine, menstruation
💊	pill	doctor, medicine, pill, sick
🩹	adhesive bandage	adhesive bandage, bandage
🩼	crutch	
🩺	stethoscope	doctor, heart, medicine, stethoscope
🩻	x-ray	
🚪	door	door
🛗	elevator	accessibility, elevator, hoist, lift
🪞	mirror	mirror, reflection, reflector, speculum
🪟	window	frame, fresh air, opening, transparent, view, window
🛏️	bed	bed, hotel, sleep
🛋️	couch and lamp	couch, couch and lamp, hotel, lamp
🪑	chair	chair, seat, sit
🚽	toilet	toilet
🪠	plunger	force cup, plumber, plunger, suction, toilet
🚿	shower	shower, water
🛁	bathtub	bath, bathtub
🪤	mouse trap	bait, mouse trap, mousetrap, snare, trap
🪒	razor	razor, sharp, shave
🧴	lotion bottle	lotion, lotion bottle, moisturizer, shampoo, sunscreen
🧷	safety pin	diaper, punk rock, safety pin
🧹	broom	broom, cleaning, sweeping, witch
🧺	basket	basket, farming, laundry, picnic
🧻	roll of paper	paper towels, roll of paper, toilet paper
🪣	bucket	bucket, cask, pail, vat
🧼	soap	bar, bathing, cleaning, lather, soap, soapdish
🫧	bubbles	
🪥	toothbrush	bathroom, brush, clean, dental, hygiene, teeth, toothbrush
🧽	sponge	absorbing, cleaning, porous, sponge
🧯	fire extinguisher	extinguish, fire, fire extinguisher, quench
🛒	shopping cart	cart, shopping, trolley
🚬	cigarette	cigarette, smoking
⚰️	coffin	coffin, death
🪦	headstone	cemetery, grave, graveyard, headstone, tombstone
⚱️	funeral urn	ashes, death, funeral, urn
🧿	nazar amulet	bead, charm, evil-eye, nazar, nazar amulet, talisman
🪬	hamsa	
🗿	moai	face, moai, moyai, statue
🪧	placard	demonstration, picket, placard, protest, sign
🪪	identification card	
👋	waving hand	hand, wave, waving
🤚	raised back of hand	backhand, raised, raised back of hand
🖐️	hand with fingers splayed	finger, hand, hand with fingers splayed, splayed
✋	raised hand	hand, raised hand
🖖	vulcan salute	finger, hand, spock, vulcan, vulcan salute
🫱	rightwards hand	
🫲	leftwards hand	
🫳	palm down hand	
🫴	palm up hand	
🫷	leftwards pushing hand	
🫸	rightwards pushing hand	
👌	OK hand	hand, OK
🤌	pinched fingers	fingers, hand gesture, interrogation, pinched, sarcastic
🤏	pinching hand	pinching hand, small amount
✌️	victory hand	hand, v, victory
🤞	crossed fingers	cross, crossed fingers, finger, hand, luck
🫰	hand with index finger and thumb crossed	
🤟	love-you gesture	hand, ILY, love-you gesture
🤘	sign of the horns	finger, hand, horns, rock-on, sign of the horns
🤙	call me hand	call, call me hand, hand
👈	backhand index pointing left	backhand, backhand index pointing left, finger, hand, index, point
👉	backhand index pointing right	backhand, backhand index pointing right, finger, hand, index, point
👆	backhand index pointing up	backhand, backhand index pointing up, finger, hand, point, up
🖕	middle finger	finger, hand, middle finger
👇	backhand index pointing down	backhand, backhand index pointing down, down, finger, hand, point
☝️	index pointing up	finger, hand, index, index pointing up, point, up
🫵	index pointing at the viewer	
👍	thumbs up	+1, hand, thumb, thumbs up, up
👎	thumbs down	-1, down, hand, thumb, thumbs down
✊	raised fist	clenched, fist, hand, punch, raised fist
👊	oncoming fist	clenched, fist, hand, oncoming fist, punch
🤛	left-facing fist	fist, left-facing fist, leftwards
🤜	right-facing fist	fist, right-facing fist, rightwards
👏	clapping hands	clap, clapping hands, hand
🙌	raising hands	celebration, gesture, hand, hooray, raised, raising hands
🫶	heart hands	
👐	open hands	hand, open, open hands
🤲	palms up together	palms up together, prayer
🤝	handshake	agreement, hand, handshake, meeting, shake
🙏	folded hands	ask, folded hands, hand, please, pray, thanks
✍️	writing hand	hand, write, writing hand
💅	nail polish	care, cosmetics, manicure, nail, polish
🤳	selfie	camera, phone, selfie
💪	flexed biceps	biceps, comic, flex, flexed biceps, muscle
🦾	mechanical arm	accessibility, mechanical arm, prosthetic
🦿	mechanical leg	accessibility, mechanical leg, prosthetic
🦵	leg	kick, leg, limb
🦶	foot	foot, kick, stomp
👂	ear	body, ear
🦻	ear with hearing aid	accessibility, ear with hearing aid, hard of hearing
👃	nose	body, nose
🧠	brain	brain, intelligent
🫀	anatomical heart	anatomical, cardiology, heart, organ, pulse
🫁	lungs	breath, exhalation, inhalation, lungs, organ, respiration
🦷	tooth	dentist, tooth
🦴	bone	bone, skeleton
👀	eyes	eye, eyes, face
👁️	eye	body, eye
👅	tongue	body, tongue
👄	mouth	lips, mouth
🫦	biting lip	
👶	baby	baby, young
🧒	child	child, gender-neutral, unspecified gender, young
👦	boy	boy, young
👧	girl	girl, Virgo, young, zodiac
🧑	person	adult, gender-neutral, person, unspecified gender
👱	person: blond hair	blond, blond-haired person, hair, person: blond hair
👨	man	adult, man
🧔	person: beard	beard, man, man: beard, person
🧔‍♂️	man: beard	
🧔‍♀️	woman: beard	
👨‍🦰	man: red hair	
👨‍🦱	man: curly hair	
👨‍🦳	man: white hair	
👨‍🦲	man: bald	
👩	woman	adult, woman
👩‍🦰	woman: red hair	
🧑‍🦰	person: red hair	
👩‍🦱	woman: curly hair	
🧑‍🦱	person: curly hair	
👩‍🦳	woman: white hair	
🧑‍🦳	person: white hair	
👩‍🦲	woman: bald	
🧑‍🦲	person: bald	
👱‍♀️	woman: blond hair	
👱‍♂️	man: blond hair	
🧓	older person	adult, gender-neutral, old, older person, unspecified gender
👴	old man	adult, man, old
👵	old woman	adult, old, woman
🙍	person frowning	frown, gesture, person frowning
🙍‍♂️	man frowning	
🙍‍♀️	woman frowning	
🙎	person pouting	gesture, person pouting, pouting
🙎‍♂️	man pouting	
🙎‍♀️	woman pouting	
🙅	person gesturing NO	forbidden, gesture, hand, person gesturing NO, prohibited
🙅‍♂️	man gesturing NO	
🙅‍♀️	woman gesturing NO	
🙆	person gesturing OK	gesture, hand, OK, person gesturing OK
🙆‍♂️	man gesturing OK	
🙆‍♀️	woman gesturing OK	
💁	person tipping hand	hand, help, information, person tipping hand, sassy, tipping
💁‍♂️	man tipping hand	
💁‍♀️	woman tipping hand	
🙋	person raising hand	gesture, hand, happy, person raising hand, raised
🙋‍♂️	man raising hand	
🙋‍♀️	woman raising hand	
🧏	deaf person	accessibility, deaf, deaf person, ear, hear
🧏‍♂️	deaf man	
🧏‍♀️	deaf woman	
🙇	person bowing	apology, bow, gesture, person bowing, sorry
🙇‍♂️	man bowing	
🙇‍♀️	woman bowing	
🤦	person facepalming	disbelief, exasperation, face, palm, person facepalming
🤦‍♂️	man facepalming	
🤦‍♀️	woman facepalming	
🤷	person shrugging	doubt, ignorance, indifference, person shrugging, shrug
🤷‍♂️	man shrugging	
🤷‍♀️	woman shrugging	
🧑‍⚕️	health worker	
👨‍⚕️	man health worker	
👩‍⚕️	woman health worker	
🧑‍🎓	student	graduate, student
👨‍🎓	man student	graduate, man, student
👩‍🎓	woman student	graduate, student, woman
🧑‍🏫	teacher	instructor, professor, teacher
👨‍🏫	man teacher	instructor, man, professor, teacher
👩‍🏫	woman teacher	instructor, professor, teacher, woman
🧑‍⚖️	judge	
👨‍⚖️	man judge	
👩‍⚖️	woman judge	
🧑‍🌾	farmer	farmer, gardener, rancher
👨‍🌾	man farmer	farmer, gardener, man, rancher
👩‍🌾	woman farmer	farmer, gardener, rancher, woman
🧑‍🍳	cook	chef, cook
👨‍🍳	man cook	chef, cook, man
👩‍🍳	woman cook	chef, cook, woman
🧑‍🔧	mechanic	electrician, mechanic, plumber, tradesperson
👨‍🔧	man mechanic	electrician, man, mechanic, plumber, tradesperson
👩‍🔧	woman mechanic	electrician, mechanic, plumber, tradesperson, woman
🧑‍🏭	factory worker	assembly, factory, industrial, worker
👨‍🏭	man factory worker	assembly, factory, industrial, man, worker
👩‍🏭	woman factory worker	assembly, factory, industrial, woman, worker
🧑‍💼	office worker	architect, business, manager, office worker, white-collar
👨‍💼	man office worker	architect, business, man, man office worker, manager, white-collar
👩‍💼	woman office worker	architect, business, manager, white-collar, woman, woman office worker
🧑‍🔬	scientist	biologist, chemist, engineer, physicist, scientist
👨‍🔬	man scientist	biologist, chemist, engineer, man, physicist, scientist
👩‍🔬	woman scientist	biologist, chemist, engineer, physicist, scientist, woman
🧑‍💻	technologist	coder, developer, inventor, software, technologist
👨‍💻	man technologist	coder, developer, inventor, man, software, technologist
👩‍💻	woman technologist	coder, developer, inventor, software, technologist, woman
🧑‍🎤	singer	actor, entertainer, rock, singer, star
👨‍🎤	man singer	actor, entertainer, man, rock, singer, star
👩‍🎤	woman singer	actor, entertainer, rock, singer, star, woman
🧑‍🎨	artist	artist, palette
👨‍🎨	man artist	artist, man, palette
👩‍🎨	woman artist	artist, palette, woman
🧑‍✈️	pilot	
👨‍✈️	man pilot	
👩‍✈️	woman pilot	
🧑‍🚀	astronaut	astronaut, rocket
👨‍🚀	man astronaut	astronaut, man, rocket
👩‍🚀	woman astronaut	astronaut, rocket, woman
🧑‍🚒	firefighter	firefighter, firetruck
👨‍🚒	man firefighter	firefighter, firetruck, man
👩‍🚒	woman firefighter	firefighter, firetruck, woman
👮	police officer	cop, officer, police
👮‍♂️	man police officer	
👮‍♀️	woman police officer	
🕵️	detective	detective, sleuth, spy
🕵️‍♂️	man detective	
🕵️‍♀️	woman detective	
💂	guard	guard
💂‍♂️	man guard	
💂‍♀️	woman guard	
🥷	ninja	fighter, hidden, ninja, stealth
👷	construction worker	construction, hat, worker
👷‍♂️	man construction worker	
👷‍♀️	woman construction worker	
🫅	person with crown	
🤴	prince	prince
👸	princess	fairy tale, fantasy, princess
👳	person wearing turban	person wearing turban, turban
👳‍♂️	man wearing turban	
👳‍♀️	woman wearing turban	
👲	person with skullcap	cap, gua pi mao, hat, person, person with skullcap, skullcap
🧕	woman with headscarf	headscarf, hijab, mantilla, tichel, woman with headscarf
🤵	person in tuxedo	groom, person, person in tuxedo, tuxedo
🤵‍♂️	man in tuxedo	
🤵‍♀️	woman in tuxedo	
👰	person with veil	bride, person, person with veil, veil, wedding
👰‍♂️	man with veil	
👰‍♀️	woman with veil	
🤰	pregnant woman	pregnant, woman
🫃	pregnant man	
🫄	pregnant person	
🤱	breast-feeding	baby, breast, breast-feeding, nursing
👩‍🍼	woman feeding baby	baby, feeding, nursing, woman
👨‍🍼	man feeding baby	baby, feeding, man, nursing
🧑‍🍼	person feeding baby	baby, feeding, nursing, person
👼	baby angel	angel, baby, face, fairy tale, fantasy
🎅	Santa Claus	celebration, Christmas, claus, father, santa, Santa Claus
🤶	Mrs. Claus	celebration, Christmas, claus, mother, Mrs., Mrs. Claus
🧑‍🎄	Mx Claus	Claus, christmas, mx claus
🦸	superhero	good, hero, heroine, superhero, superpower
🦸‍♂️	man superhero	
🦸‍♀️	woman superhero	
🦹	supervillain	criminal, evil, superpower, supervillain, villain
🦹‍♂️	man supervillain	
🦹‍♀️	woman supervillain	
🧙	mage	mage, sorcerer, sorceress, witch, wizard
🧙‍♂️	man mage	
🧙‍♀️	woman mage	
🧚	fairy	fairy, Oberon, Puck, Titania
🧚‍♂️	man fairy	
🧚‍♀️	woman fairy	
🧛	vampire	Dracula, undead, vampire
🧛‍♂️	man vampire	
🧛‍♀️	woman vampire	
🧜	merperson	mermaid, merman, merperson, merwoman
🧜‍♂️	merman	
🧜‍♀️	mermaid	
🧝	elf	elf, magical
🧝‍♂️	man elf	
🧝‍♀️	woman elf	
🧞	genie	djinn, genie
🧞‍♂️	man genie	
🧞‍♀️	woman genie	
🧟	zombie	undead, walking dead, zombie
🧟‍♂️	man zombie	
🧟‍♀️	woman zombie	
🧌	troll	
🫈	hairy creature	
💆	person getting massage	face, massage, person getting massage, salon
💆‍♂️	man getting massage	
💆‍♀️	woman getting massage	
💇	person getting haircut	barber, beauty, haircut, parlor, person getting haircut
💇‍♂️	man getting haircut	
💇‍♀️	woman getting haircut	
🚶	person walking	hike, person walking, walk, walking
🚶‍♂️	man walking	
🚶‍♀️	woman walking	
🚶‍➡️	person walking: facing right	
🚶‍♀️‍➡️	woman walking: facing right	
🚶‍♂️‍➡️	man walking: facing right	
🧍	person standing	person standing, stand, standing
🧍‍♂️	man standing	
🧍‍♀️	woman standing	
🧎	person kneeling	kneel, kneeling, person kneeling
🧎‍♂️	man kneeling	
🧎‍♀️	woman kneeling	
🧎‍➡️	person kneeling: facing right	
🧎‍♀️‍➡️	woman kneeling: facing right	
🧎‍♂️‍➡️	man kneeling: facing right	
🧑‍🦯	person with white cane	accessibility, blind, person with white cane
🧑‍🦯‍➡️	person with white cane: facing right	
👨‍🦯	man with white cane	accessibility, blind, man, man with white cane
👨‍🦯‍➡️	man with white cane: facing right	
👩‍🦯	woman with white cane	accessibility, blind, woman, woman with white cane
👩‍🦯‍➡️	woman with white cane: facing right	
🧑‍🦼	person in motorized wheelchair	accessibility, person in motorized wheelchair, wheelchair
🧑‍🦼‍➡️	person in motorized wheelchair: facing right	
👨‍🦼	man in motorized wheelchair	accessibility, man, man in motorized wheelchair, wheelchair
👨‍🦼‍➡️	man in motorized wheelchair: facing right	
👩‍🦼	woman in motorized wheelchair	accessibility, wheelchair, woman, woman in motorized wheelchair
👩‍🦼‍➡️	woman in motorized wheelchair: facing right	
🧑‍🦽	person in manual wheelchair	accessibility, person in manual wheelchair, wheelchair
🧑‍🦽‍➡️	person in manual wheelchair: facing right	
👨‍🦽	man in manual wheelchair	accessibility, man, man in manual wheelchair, wheelchair
👨‍🦽‍➡️	man in manual wheelchair: facing right	
👩‍🦽	woman in manual wheelchair	accessibility, wheelchair, woman, woman in manual wheelchair
👩‍🦽‍➡️	woman in manual wheelchair: facing right	
🏃	person running	marathon, person running, running
🏃‍♂️	man running	
🏃‍♀️	woman running	
🏃‍➡️	person running: facing right	
🏃‍♀️‍➡️	woman running: facing right	
🏃‍♂️‍➡️	man running: facing right	
🧑‍🩰	ballet dancer	
💃	woman dancing	dancing, woman
🕺	man dancing	dance, man, man dancing
🕴️	person in suit levitating	business, person, person in suit levitating, suit
👯	people with bunny ears	bunny ear, dancer, partying, people with bunny ears
👯‍♂️	men with bunny ears	
👯‍♀️	women with bunny ears	
🧖	person in steamy room	person in steamy room, sauna, steam room
🧖‍♂️	man in steamy room	
🧖‍♀️	woman in steamy room	
🧗	person climbing	climber, person climbing
🧗‍♂️	man climbing	
🧗‍♀️	woman climbing	
🤺	person fencing	fencer, fencing, person fencing, sword
🏇	horse racing	horse, jockey, racehorse, racing
⛷️	skier	ski, skier, snow
🏂	snowboarder	ski, snow, snowboard, snowboarder
🏌️	person golfing	ball, golf, person golfing
🏌️‍♂️	man golfing	
🏌️‍♀️	woman golfing	
🏄	person surfing	person surfing, surfing
🏄‍♂️	man surfing	
🏄‍♀️	woman surfing	
🚣	person rowing boat	boat, person rowing boat, rowboat
🚣‍♂️	man rowing boat	
🚣‍♀️	woman rowing boat	
🏊	person swimming	person swimming, swim
🏊‍♂️	man swimming	
🏊‍♀️	woman swimming	
⛹️	person bouncing ball	ball, person bouncing ball
⛹️‍♂️	man bouncing ball	
⛹️‍♀️	woman bouncing ball	
🏋️	person lifting weights	lifter, person lifting weights, weight
🏋️‍♂️	man lifting weights	
🏋️‍♀️	woman lifting weights	
🚴	person biking	bicycle, biking, cyclist, person biking
🚴‍♂️	man biking	
🚴‍♀️	woman biking	
🚵	person mountain biking	bicycle, bicyclist, bike, cyclist, mountain, person mountain biking
🚵‍♂️	man mountain biking	
🚵‍♀️	woman mountain biking	
🤸	person cartwheeling	cartwheel, gymnastics, person cartwheeling
🤸‍♂️	man cartwheeling	
🤸‍♀️	woman cartwheeling	
🤼	people wrestling	people wrestling, wrestle, wrestler
🤼‍♂️	men wrestling	
🤼‍♀️	women wrestling	
🤽	person playing water polo	person playing water polo, polo, water
🤽‍♂️	man playing water polo	
🤽‍♀️	woman playing water polo	
🤾	person playing handball	ball, handball, person playing handball
🤾‍♂️	man playing handball	
🤾‍♀️	woman playing handball	
🤹	person juggling	balance, juggle, multitask, person juggling, skill
🤹‍♂️	man juggling	
🤹‍♀️	woman juggling	
🧘	person in lotus position	meditation, person in lotus position, yoga
🧘‍♂️	man in lotus position	
🧘‍♀️	woman in lotus position	
🛀	person taking bath	bath, bathtub, person taking bath
🛌	person in bed	hotel, person in bed, sleep
🧑‍🤝‍🧑	people holding hands	couple, hand, hold, holding hands, people holding hands, person
👭	women holding hands	couple, hand, holding hands, women, women holding hands
👫	woman and man holding hands	couple, hand, hold, holding hands, man, woman, woman and man holding hands
👬	men holding hands	couple, Gemini, holding hands, man, men, men holding hands, twins, zodiac
💏	kiss	couple, kiss
👩‍❤️‍💋‍👨	kiss: woman, man	
👨‍❤️‍💋‍👨	kiss: man, man	
👩‍❤️‍💋‍👩	kiss: woman, woman	
💑	couple with heart	couple, couple with heart, love
👩‍❤️‍👨	couple with heart: woman, man	
👨‍❤️‍👨	couple with heart: man, man	
👩‍❤️‍👩	couple with heart: woman, woman	
👨‍👩‍👦	family: man, woman, boy	
👨‍👩‍👧	family: man, woman, girl	
👨‍👩‍👧‍👦	family: man, woman, girl, boy	
👨‍👩‍👦‍👦	family: man, woman, boy, boy	
👨‍👩‍👧‍👧	family: man, woman, girl, girl	
👨‍👨‍👦	family: man, man, boy	
👨‍👨‍👧	family: man, man, girl	
👨‍👨‍👧‍👦	family: man, man, girl, boy	
👨‍👨‍👦‍👦	family: man, man, boy, boy	
👨‍👨‍👧‍👧	family: man, man, girl, girl	
👩‍👩‍👦	family: woman, woman, boy	
👩‍👩‍👧	family: woman, woman, girl	
👩‍👩‍👧‍👦	family: woman, woman, girl, boy	
👩‍👩‍👦‍👦	family: woman, woman, boy, boy	
👩‍👩‍👧‍👧	family: woman, woman, girl, girl	
👨‍👦	family: man, boy	
👨‍👦‍👦	family: man, boy, boy	
👨‍👧	family: man, girl	
👨‍👧‍👦	family: man, girl, boy	
👨‍👧‍👧	family: man, girl, girl	
👩‍👦	family: woman, boy	
👩‍👦‍👦	family: woman, boy, boy	
👩‍👧	family: woman, girl	
👩‍👧‍👦	family: woman, girl, boy	
👩‍👧‍👧	family: woman, girl, girl	
🗣️	speaking head	face, head, silhouette, speak, speaking
👤	bust in silhouette	bust, bust in silhouette, silhouette
👥	busts in silhouette	bust, busts in silhouette, silhouette
🫂	people hugging	goodbye, hello, hug, people hugging, thanks
👪	family	family
🧑‍🧑‍🧒	family: adult, adult, child	
🧑‍🧑‍🧒‍🧒	family: adult, adult, child, child	
🧑‍🧒	family: adult, child	
🧑‍🧒‍🧒	family: adult, child, child	
👣	footprints	clothing, footprint, footprints, print
🫆	fingerprint	
😀	grinning face	face, grin, grinning face
😃	grinning face with big eyes	face, grinning face with big eyes, mouth, open, smile
😄	grinning face with smiling eyes	eye, face, grinning face with smiling eyes, mouth, open, smile
😁	beaming face with smiling eyes	beaming face with smiling eyes, eye, face, grin, smile
😆	grinning squinting face	face, grinning squinting face, laugh, mouth, satisfied, smile
😅	grinning face with sweat	cold, face, grinning face with sweat, open, smile, sweat
🤣	rolling on the floor laughing	face, floor, laugh, rolling, rolling on the floor laughing
😂	face with tears of joy	face, face with tears of joy, joy, laugh, tear
🙂	slightly smiling face	face, slightly smiling face, smile
🙃	upside-down face	face, upside-down
🫠	melting face	
😉	winking face	face, wink, winking face
😊	smiling face with smiling eyes	blush, eye, face, smile, smiling face with smiling eyes
😇	smiling face with halo	angel, face, fantasy, halo, innocent, smiling face with halo
🥰	smiling face with hearts	adore, crush, hearts, in love, smiling face with hearts
😍	smiling face with heart-eyes	eye, face, love, smile, smiling face with heart-eyes
🤩	star-struck	eyes, face, grinning, star, star-struck
😘	face blowing a kiss	face, face blowing a kiss, kiss
😗	kissing face	face, kiss, kissing face
☺️	smiling face	face, outlined, relaxed, smile, smiling face
😚	kissing face with closed eyes	closed, eye, face, kiss, kissing face with closed eyes
😙	kissing face with smiling eyes	eye, face, kiss, kissing face with smiling eyes, smile
🥲	smiling face with tear	grateful, proud, relieved, smiling, smiling face with tear, tear, touched
😋	face savoring food	delicious, face, face savoring food, savouring, smile, yum
😛	face with tongue	face, face with tongue, tongue
😜	winking face with tongue	eye, face, joke, tongue, wink, winking face with tongue
🤪	zany face	eye, goofy, large, small, zany face
😝	squinting face with tongue	eye, face, horrible, squinting face with tongue, taste, tongue
🤑	money-mouth face	face, money, money-mouth face, mouth
🤗	smiling face with open hands	face, hug, hugging
🤭	face with hand over mouth	face with hand over mouth, whoops
🫢	face with open eyes and hand over mouth	
🫣	face with peeking eye	
🤫	shushing face	quiet, shush, shushing face
🤔	thinking face	face, thinking
🫡	saluting face	
🤐	zipper-mouth face	face, mouth, zipper, zipper-mouth face
🤨	face with raised eyebrow	distrust, face with raised eyebrow, skeptic
😐	neutral face	deadpan, face, meh, neutral
😑	expressionless face	expressionless, face, inexpressive, meh, unexpressive
😶	face without mouth	face, face without mouth, mouth, quiet, silent
🫥	dotted line face	
😶‍🌫️	face in clouds	
😏	smirking face	face, smirk, smirking face
😒	unamused face	face, unamused, unhappy
🙄	face with rolling eyes	eyeroll, eyes, face, face with rolling eyes, rolling
